Id,Full name,Age,Gender,Device type,Ad position,Browsing history,Time of day,Click
10000,User10000,33,Female,Desktop,Bottom,News,Afternoon,0
5953,User8842,27,Female,Desktop,Top,News,Night,0
5952,User9996,27,Male,Tablet,Bottom,News,Evening,0
5951,User9992,41,Female,Tablet,Top,News,Evening,0
5945,User9989,42,Male,Desktop,Side,News,Evening,0
5943,User9983,51,Non-Binary,Tablet,Top,News,Evening,0
5942,User9963,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User9966,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User9967,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User9971,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User9975,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User9976,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User9977,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5942,User998,51,Non-Binary,Tablet,Bottom,Social Media,Evening,1
5941,User9955,51,Non-Binary,Desktop,Side,Education,Evening,0
5939,User9954,18,Female,Desktop,Side,Education,Afternoon,0
5937,User9953,18,Non-Binary,Desktop,Bottom,Shopping,Evening,0
5932,User9951,18,Female,Desktop,Bottom,Education,Evening,0
5930,User9950,18,Female,Tablet,Top,Entertainment,Morning,0
5925,User9949,45,Male,Mobile,Bottom,Education,Afternoon,0
5924,User9946,45,Non-Binary,Tablet,Side,Education,Afternoon,0
5922,User9944,62,Female,Mobile,Side,Entertainment,Afternoon,0
5921,User993,62,Female,Desktop,Side,Entertainment,Morning,1
5921,User9931,62,Female,Desktop,Side,Entertainment,Morning,1
5921,User9934,62,Female,Desktop,Side,Entertainment,Morning,1
5921,User9936,62,Female,Desktop,Side,Entertainment,Morning,1
5921,User994,62,Female,Desktop,Side,Entertainment,Morning,1
5918,User9928,48,Female,Mobile,Bottom,Entertainment,Evening,0
5917,User9924,32,Female,Tablet,Bottom,Education,Morning,0
5914,User9921,32,Female,Tablet,Bottom,Education,Afternoon,0
5912,User9905,41,Non-Binary,Tablet,Side,Education,Night,1
5912,User9906,41,Non-Binary,Mobile,Side,Education,Night,1
5912,User9910,41,Non-Binary,Mobile,Side,Education,Night,1
5912,User9912,41,Non-Binary,Mobile,Side,Education,Night,1
5912,User9913,41,Non-Binary,Mobile,Side,Education,Night,1
5912,User9916,41,Non-Binary,Mobile,Side,Education,Night,1
5912,User9918,41,Non-Binary,Mobile,Side,Education,Night,1
5912,User992,41,Non-Binary,Mobile,Side,Education,Night,1
5909,User9892,45,Non-Binary,Tablet,Top,Education,Afternoon,1
5909,User9893,45,Non-Binary,Tablet,Top,Education,Afternoon,1
5909,User9894,45,Non-Binary,Tablet,Top,Education,Afternoon,1
5909,User9896,45,Non-Binary,Tablet,Top,Education,Afternoon,1
5909,User990,45,Non-Binary,Tablet,Top,Education,Afternoon,1
5908,User9888,45,Male,Mobile,Bottom,Education,Afternoon,0
5907,User9878,61,Non-Binary,Mobile,Top,Education,Afternoon,0
5906,User9876,61,Female,Mobile,Top,Social Media,Afternoon,0
5900,User9875,61,Female,Mobile,Top,Social Media,Evening,0
5897,User9869,61,Female,Tablet,Side,Social Media,Evening,0
5895,User9868,61,Non-Binary,Tablet,Side,Social Media,Morning,0
5894,User9860,57,Male,Desktop,Side,Social Media,Evening,0
5893,User986,48,Male,Desktop,Top,Shopping,Evening,0
5891,User9859,24,Non-Binary,Tablet,Top,Education,Evening,0
5890,User9846,56,Female,Mobile,Bottom,News,Night,1
5890,User9848,56,Female,Mobile,Bottom,News,Night,1
5890,User9849,56,Female,Mobile,Bottom,News,Night,1
5890,User985,56,Female,Mobile,Bottom,News,Night,1
5890,User9850,56,Female,Mobile,Bottom,News,Night,1
5890,User9855,56,Female,Mobile,Bottom,News,Night,1
5890,User9857,56,Female,Mobile,Bottom,News,Night,1
5881,User9832,26,Non-Binary,Tablet,Top,News,Morning,1
5881,User9833,26,Non-Binary,Tablet,Top,News,Morning,1
5881,User9835,26,Non-Binary,Tablet,Top,News,Morning,1
5881,User9838,26,Non-Binary,Tablet,Top,News,Morning,1
5881,User9841,26,Non-Binary,Tablet,Top,News,Morning,1
5881,User9842,26,Non-Binary,Tablet,Top,News,Morning,1
5881,User9845,26,Non-Binary,Tablet,Top,News,Morning,1
5879,User983,42,Non-Binary,Mobile,Side,News,Afternoon,0
5878,User981,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9811,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9814,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9816,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9819,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9822,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9823,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9827,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5878,User9829,42,Non-Binary,Tablet,Bottom,Education,Afternoon,1
5877,User9807,22,Female,Tablet,Side,Education,Morning,0
5876,User9806,55,Male,Tablet,Top,Education,Morning,0
5869,User9805,55,Male,Tablet,Top,Education,Evening,0
5862,User9801,56,Male,Desktop,Side,News,Night,0
5860,User9791,56,Female,Desktop,Bottom,Entertainment,Morning,1
5860,User9793,56,Female,Desktop,Bottom,Entertainment,Morning,1
5860,User9795,56,Female,Desktop,Bottom,Entertainment,Morning,1
5860,User9796,56,Female,Desktop,Bottom,Entertainment,Morning,1
5860,User98,56,Female,Desktop,Bottom,Entertainment,Morning,1
5860,User980,56,Female,Desktop,Bottom,Entertainment,Morning,1
5856,User979,56,Female,Mobile,Side,Entertainment,Morning,0
5854,User9789,31,Non-Binary,Mobile,Top,Social Media,Morning,0
5851,User9786,60,Non-Binary,Mobile,Bottom,Education,Afternoon,0
5846,User978,60,Non-Binary,Mobile,Top,Education,Afternoon,0
5845,User9775,60,Non-Binary,Tablet,Top,Shopping,Morning,0
5843,User9774,51,Non-Binary,Mobile,Top,Shopping,Morning,0
5838,User9771,27,Non-Binary,Tablet,Top,Shopping,Evening,0
5837,User9766,27,Non-Binary,Mobile,Top,Entertainment,Evening,0
5832,User9753,27,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5832,User9755,28,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5832,User9758,28,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5832,User9762,28,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5832,User9763,28,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5832,User9764,28,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5832,User9765,28,Non-Binary,Desktop,Side,Entertainment,Afternoon,1
5826,User975,28,Non-Binary,Desktop,Side,Entertainment,Morning,0
5824,User9748,59,Non-Binary,Desktop,Side,Entertainment,Night,0
5822,User9747,55,Non-Binary,Mobile,Side,Social Media,Evening,0
5821,User9743,31,Female,Desktop,Side,Education,Evening,0
5818,User9732,31,Female,Tablet,Top,Social Media,Night,1
5818,User9734,31,Female,Tablet,Top,Social Media,Night,1
5818,User9735,31,Female,Tablet,Top,Social Media,Night,1
5818,User9736,31,Female,Tablet,Top,Social Media,Night,1
5818,User9738,31,Female,Tablet,Top,Social Media,Night,1
5813,User973,31,Female,Tablet,Top,Social Media,Afternoon,0
5812,User9723,31,Non-Binary,Mobile,Top,Education,Morning,0
5810,User9720,25,Non-Binary,Mobile,Top,News,Morning,0
5808,User9714,25,Male,Desktop,Side,News,Morning,0
5807,User9713,41,Male,Desktop,Side,News,Afternoon,0
5806,User9708,41,Male,Desktop,Side,Social Media,Night,0
5805,User9707,29,Non-Binary,Tablet,Bottom,Social Media,Morning,0
5804,User9705,27,Female,Desktop,Top,News,Night,0
5801,User9704,59,Female,Tablet,Top,Education,Night,0
5800,User9703,50,Male,Mobile,Side,Entertainment,Night,0
5796,User9686,46,Non-Binary,Mobile,Bottom,News,Afternoon,1
5796,User9689,46,Non-Binary,Mobile,Bottom,News,Afternoon,1
5793,User9685,46,Female,Mobile,Top,News,Morning,0
5784,User9683,46,Male,Mobile,Side,Shopping,Morning,0
5783,User9664,46,Male,Desktop,Bottom,Shopping,Evening,1
5783,User9666,46,Male,Desktop,Bottom,Education,Evening,1
5783,User9668,46,Male,Desktop,Bottom,Education,Evening,1
5783,User9670,46,Male,Desktop,Bottom,Education,Evening,1
5783,User9675,46,Male,Desktop,Bottom,Education,Evening,1
5783,User9676,46,Male,Desktop,Bottom,Education,Evening,1
5783,User9677,46,Male,Desktop,Bottom,Education,Evening,1
5783,User9680,46,Male,Desktop,Bottom,Education,Evening,1
5780,User966,46,Male,Mobile,Bottom,Entertainment,Evening,1
5780,User9660,46,Female,Mobile,Bottom,Entertainment,Afternoon,1
5780,User9661,46,Female,Mobile,Bottom,Entertainment,Afternoon,1
5780,User9662,46,Female,Mobile,Bottom,Entertainment,Afternoon,1
5780,User9663,46,Female,Mobile,Bottom,Entertainment,Afternoon,1
5779,User9651,55,Female,Tablet,Bottom,Entertainment,Night,0
5777,User9649,42,Female,Tablet,Bottom,Shopping,Night,0
5772,User9647,52,Male,Desktop,Bottom,News,Morning,0
5768,User9644,52,Male,Desktop,Side,News,Morning,0
5766,User9625,63,Male,Desktop,Side,Social Media,Evening,1
5766,User9629,63,Male,Desktop,Side,Social Media,Evening,1
5766,User9637,63,Male,Desktop,Side,Social Media,Evening,1
5766,User9640,63,Male,Desktop,Side,Social Media,Evening,1
5766,User9642,63,Male,Desktop,Side,Social Media,Evening,1
5761,User9622,63,Non-Binary,Mobile,Side,Social Media,Evening,0
5760,User9620,47,Female,Mobile,Bottom,Social Media,Afternoon,0
5757,User9619,47,Female,Mobile,Side,Shopping,Afternoon,0
5756,User960,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9600,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9603,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9608,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9609,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9611,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9617,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5756,User9618,51,Non-Binary,Tablet,Top,Shopping,Afternoon,1
5751,User9599,41,Female,Desktop,Side,Social Media,Afternoon,0
5748,User9577,41,Male,Desktop,Side,Social Media,Afternoon,1
5748,User9579,41,Male,Desktop,Side,Entertainment,Morning,1
5748,User9582,41,Male,Desktop,Side,Entertainment,Morning,1
5748,User9586,41,Male,Desktop,Side,Entertainment,Morning,1
5748,User9589,41,Male,Desktop,Side,Entertainment,Morning,1
5748,User9590,41,Male,Desktop,Side,Entertainment,Morning,1
5748,User9595,41,Male,Desktop,Side,Entertainment,Morning,1
5747,User9573,41,Male,Desktop,Bottom,Entertainment,Morning,0
5744,User9572,41,Male,Desktop,Bottom,Education,Afternoon,0
5741,User9570,27,Non-Binary,Mobile,Bottom,Education,Afternoon,0
5740,User9568,27,Non-Binary,Mobile,Side,Shopping,Afternoon,0
5738,User9558,54,Non-Binary,Desktop,Bottom,Social Media,Afternoon,0
5737,User9557,29,Non-Binary,Desktop,Top,Shopping,Night,0
5735,User9555,46,Female,Desktop,Top,Shopping,Evening,0
5734,User9554,46,Male,Desktop,Side,Entertainment,Night,0
5733,User9550,46,Male,Mobile,Bottom,Entertainment,Morning,0
5732,User9530,46,Non-Binary,Mobile,Bottom,Entertainment,Evening,1
5732,User9531,46,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
5732,User9532,46,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
5732,User9536,46,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
5732,User9541,46,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
5732,User9549,46,Non-Binary,Tablet,Bottom,Entertainment,Evening,1
5727,User9522,18,Non-Binary,Desktop,Side,Shopping,Evening,0
5709,User9520,52,Male,Desktop,Side,Education,Evening,0
5708,User9518,52,Female,Desktop,Bottom,Education,Morning,0
5707,User9516,34,Non-Binary,Mobile,Side,Social Media,Afternoon,0
5703,User9515,55,Female,Tablet,Side,Shopping,Night,0
5699,User95,19,Female,Tablet,Side,Shopping,Morning,1
5699,User9503,19,Female,Tablet,Top,Shopping,Morning,1
5699,User9504,19,Female,Tablet,Top,Shopping,Morning,1
5699,User9511,19,Female,Tablet,Top,Shopping,Morning,1
5699,User9512,19,Female,Tablet,Top,Shopping,Morning,1
5698,User9499,19,Male,Mobile,Bottom,Education,Morning,0
5694,User9497,64,Male,Mobile,Top,Education,Night,0
5690,User9496,34,Male,Tablet,Side,Shopping,Morning,0
5686,User9493,35,Male,Tablet,Bottom,Shopping,Evening,0
5685,User9492,35,Non-Binary,Mobile,Bottom,Education,Night,0
5684,User949,56,Male,Tablet,Side,Education,Evening,0
5681,User9489,56,Male,Desktop,Bottom,News,Evening,0
5678,User9486,56,Male,Desktop,Top,News,Afternoon,0
5671,User9485,61,Non-Binary,Mobile,Top,News,Night,0
5665,User9483,63,Non-Binary,Mobile,Bottom,Shopping,Morning,0
5664,User9480,32,Male,Mobile,Top,Shopping,Morning,0
5662,User9476,32,Male,Mobile,Bottom,Shopping,Afternoon,0
5660,User9473,32,Male,Tablet,Top,Shopping,Evening,0
5656,User9472,32,Non-Binary,Mobile,Top,Shopping,Night,0
5650,User9463,32,Non-Binary,Tablet,Top,Shopping,Evening,0
5648,User9456,39,Male,Desktop,Top,Social Media,Night,0
5647,User9445,46,Female,Tablet,Side,Social Media,Morning,1
5647,User9448,46,Female,Tablet,Side,Social Media,Morning,1
5647,User9452,46,Female,Tablet,Side,Social Media,Morning,1
5647,User9453,46,Female,Tablet,Side,Social Media,Morning,1
5647,User9455,46,Female,Tablet,Side,Social Media,Morning,1
5643,User9444,46,Non-Binary,Desktop,Side,News,Night,0
